Game Title,Genre,Sub-Genre,Key Mechanics,Key Dynamics,Key Aesthetics,Misc Game Characteristics,PEGI Rating,Gameplay Summary,Major Game Design Elements,Developer,Publisher
The Walking Dead,Adventure,Interactive Storytelling,Choice-Based Narrative where player decisions shape the story; Point-and-Click Interaction; QTEs (Quick-Time Events); Character Development as the story revolves around the emotional journeys of characters,Tension/Conflict where player decisions intensify the personal stakes; Emotional Impact a characters’ fates and relationships heavily affect players; Branching Storylines; Survival/Protection Dynamics where players protect the protagonist's group from zombies and betrayal.,Comic Book Art Style; Grim Atmosphere: Inspired by the dark world of the original comics; Character-Focused Cutscenes; Hand-Drawn Artwork for certain sequences.,Interactive Story where dialogue choices affect relationships and plot; Character-Driven and focused on the journey of the characters; Zombie Apocalypse Setting; Minimal Combat and more focused on narrative than action.,PEGI 18,"Based on the popular comic, The Walking Dead focuses on choice-based gameplay, where the player's decisions dramatically alter the story's outcome. The game follows the survival of characters in a post-apocalyptic world filled with zombies.",Choice-Based Narrative; Branching Storylines; Quick-Time Events (QTEs); Focus on Story Over Combat.,Telltale Games,Telltale Games
Company of Heroes,RTS,WWII Simulation,Squad Management includes control groups of soldiers to carry out missions; Cover and Suppression where using cover effectively is key; Resource Management; Dynamic Battlefields includes destructible environments and terrain.,Strategic Depth in planning tactics based on resource availability and map layout; Adaptability since dynamic battlefields require constant tactical shifts; Resource Management in balancing unit production and upgrades; Realism as units behave according to WWII tactics and environments.,Authentic WWII Setting; Destructible Environments; Realistic Lighting/Effects; Immersive Sound Design: Captures the chaos of warfare.,"Dynamic Weather Conditions; Multiplayer Modes for competitive strategic play; Diverse WWII Scenarios; Historical Accuracy and focus on authenticity in weapons, tactics, and environments.",PEGI 18,"Company of Heroes is a WWII RTS where players command troops, manage resources, and deploy units to defeat enemy forces. The game focuses on tactical warfare, where terrain, cover, and unit management are vital. With destructible environments and a focus on realism, it offers a deep strategic experience.",Resource Management; Squad Control; Tactical Combat; Realistic Destruction Physics.,Relic Entertainment,Sega
Brothers in Arms,FPS,Tactical Shooter,Squad-based command mechanics; Cover and suppression system; Realistic WWII weapons and combat.,"Tactical squad management in real-time; Dynamic, tense engagements focusing on realism.","Authentic, gritty World War II settings; Detailed character models and environments; Cinematic feel","Focuses on historical accuracy and detailed storylines, with a strong emphasis on teamwork and strategy.",PEGI 16,"Players command a squad of soldiers in tactical combat scenarios during World War II. Utilizing strategic cover and suppression mechanics, players must coordinate their squad's movements and tactics while engaging in battles that reflect historical events. The game emphasizes teamwork and planning, with an immersive narrative that unfolds through mission objectives and cutscenes.","Squad-based tactical combat with an emphasis on strategy, suppression, and historical accuracy.",Gearbox Software,Ubisoft
Dark Forces,FPS,Sci-Fi; Star Wars,Fast-paced blaster combat; Exploration and puzzle-solving elements; Multiple weapons and gadgets.,"Immersive, high-speed combat; Light puzzle-solving; Dynamic enemy AI providing varied challenges.",Star Wars universe settings with iconic characters; Atmospheric sound design; Sci-fi environments.,"First Star Wars game in the FPS genre; expanded the universe's lore and character backstories; Player may use fists, explosive land mines and thermal detonators, as well as blasters and other ranged weapons.",PEGI 12,"As Kyle Katarn, players infiltrate Imperial strongholds, navigate through intricate level designs filled with enemies and puzzles, and uncover the secrets of the Empire. The game combines shooting mechanics with exploratory gameplay, allowing players to utilize various weapons and gadgets to complete missions, all while contributing to the overarching Star Wars narrative.","First-person shooter with a blend of combat, exploration, and puzzle elements, set in the Star Wars universe.",LucasArts,LucasArts
Marathon 2: Durandal,FPS,Sci-Fi; Action,Story-driven single-player campaign; Cooperative and competitive multiplayer; Dual-wielding weapons,Rich narrative-driven gameplay; Fast-paced combat combined with exploration; Multiplayer team dynamics.,Futuristic sci-fi environments; Retro-futuristic design with bold colors; Alien landscapes and architecture; Uses an expanded engine as compared to its predecessor; Has liquid media which the player can enter and swim,Marathon 2 expanded the narrative-driven FPS genre and introduced new multiplayer modes for the series.,NA,"Players follow the journey of the AI Durandal as they navigate through alien worlds, battling various enemies while uncovering a deep narrative filled with twists and lore. The gameplay focuses on both single-player exploration and fast-paced action, with an emphasis on environmental storytelling and strategic use of weaponry in combat. Cooperative gameplay adds to the experience by allowing players to team up against enemies.",Rich narrative-driven FPS with a focus on exploration; fast-paced combat; multiplayer capabilities,Bungie Studios,Bungie Studios
Speed Demons,Racing,Arcade Racer,High-speed vehicle racing; Time attack challenges; Simple controls for quick access.,Competitive high-speed racing; Time-based challenges; Dynamic crashes and car damage.,Stylized car models; High-energy environments; Flashy UI and effects to convey speed.,"Features arcade-style racing with exaggerated physics, focusing on fun rather than realism; popular for most intense traffic in an arcade game",PEGI 3,"A fast-paced arcade racing game where players race through various tracks with obstacles, aiming to achieve the best times. Players can choose from different vehicles and experience chaotic racing with spectacular crashes. Speed is the essence, and the game is designed for quick, action-packed sessions.",Arcade racing with an emphasis on speed; simple controls; time-based challenges; physics-based crashes,Radiangames,Radiangames
Wolfenstein 3D,FPS,Classic FPS,Run-and-gun combat; Weapon variety including knives and guns; Maze-like level design.,"Fast-paced shooting with minimal reloading; Exploration through complex maps; Collecting ammo, health, and keys.","Nazi-era environments with retro pixelated graphics; Gritty, intense atmosphere; Immersive sound effects.","Pioneered the FPS genre, introducing players to a first-person view with smooth movement and gunplay mechanics.",PEGI 16,"Set during World War II, players take on the role of an Allied spy infiltrating Nazi strongholds. Players engage in fast-paced shooting action, navigating maze-like environments to defeat Nazi soldiers, collect weapons, and fight bosses, with the primary objective of escaping the heavily guarded facilities.","First-person shooter mechanics with fast movement, exploration, and weapon variety, set in a war environment.",id Software,Apogee Software
Big Brain Academy,Puzzle,Educational; Brain Games,"Brain-training puzzles across multiple categories (logic, memory, math); Timed challenges; Multiplayer modes.",Cognitive skill development; Competitive multiplayer brain training; Instant feedback on progress.,"Cartoon-like, clean aesthetic; Friendly UI and fun sound effects; Bright, educational visuals.","Focuses on improving cognitive skills with engaging mini-games, featuring a balance between learning and fun.",PEGI 3,"Players solve puzzles and participate in mini-games designed to test and improve different brain functions, including memory, math, and analytical skills. Each player’s performance is ranked, and feedback is provided after each session. The game supports multiplayer, allowing friends and family to compete for the best scores.","Brain-training puzzles emphasizing education and cognitive development, with family-friendly design.",Nintendo,Nintendo
Dance Dance Revolution,Casual,Music; Dance; Rhythm,Step-based dance mechanics on a dance mat; Rhythm matching with music; Variety of song tracks.,Physical interaction with the game via a dance mat; Timing-based accuracy for scoring; Progressive difficulty.,"Flashy, vibrant visuals; Upbeat, energetic soundtrack; Colorful dance arrows and patterns.",One of the first major rhythm games to utilize physical interaction with a dance mat.,PEGI 3,"Players match their dance moves to on-screen prompts, stepping in time with the beat of the music using a special dance mat. Songs vary in tempo and difficulty, requiring quick reflexes and precise timing to score well. The game tracks performance and provides a fitness-focused gameplay element.","Rhythm-based dance mechanics with a focus on timing, physical coordination, and energetic music.",Konami,"Konami, Nintendo"
Dance Central Spotlight,Casual,"Music, Dance; Rhythm","Step-based, full-body dance movements using Kinect; Real-time motion tracking with precise feedback; Scoring system based on accuracy and timing; Downloadable content to expand song library; Fitness mode encouraging exercise and workout.",Encourages movement and fitness through fun and competitive dancing; Immediate feedback loop for players to adjust moves; Multiplayer dance battles and cooperative modes; Learning curve based on timing and coordination.,"Neon-lit, vibrant environments with music-driven animations; Realistic avatars and motion-captured dance moves; Sleek, pop-culture-inspired user interface; High-energy and diverse music tracks.",Requires Kinect sensor for gameplay; Multiplayer functionality for dance-offs; Includes a dedicated workout mode for fitness enthusiasts; Features customizable difficulty based on player's skill.,PEGI 12,"Players must follow on-screen choreography to perform dance routines, using the Kinect to track their movements. The game includes a variety of music tracks, difficulty levels, and both solo and multiplayer modes.","Real-time dance mechanics tied to physical movements and rhythm, with dynamic difficulty based on player performance and a library of downloadable songs to keep the gameplay fresh.",Harmonix Music Systems,Xbox Game Studios
Vectronom,Puzzle,Rhythm; Platformer,Rhythm-based 3D platforming; Cube movement synced with music beats; Dynamic obstacles that change with the rhythm; Time-based puzzles that require precise movement; Instant respawn after failure.,Requires players to stay in sync with the beat for optimal movement; Reflex-based progression where the environment shifts with music; Increasing difficulty with complex rhythms and patterns; Cooperative and competitive multiplayer modes.,"Minimalistic yet neon-bright visuals that change with the beat; Energetic, pulsating soundtrack driving gameplay; Abstract environments that dynamically shift with the sound; Geometric shapes and puzzles.",Synthwave-inspired aesthetic and soundtrack; Features multiplayer modes that allow players to compete for high scores; Frequent updates introducing new levels and soundtracks.,PEGI 3,"Vectronom is a rhythm-based puzzle platformer where players must guide a cube through obstacle-filled environments in sync with the music. The game features minimalist, colorful visuals and beat-driven levels.",Time-synced platforming with music; increasing challenge levels; dynamic rhythm-based environment changes.,Ludopium,ARTE Experience
Legend of Zelda,Action-Adventure,Open-world; RPG,"Real-time combat involving swords, shields, and magical items; Exploration of vast, open-world environments; Puzzle-solving through the use of specific items and environmental manipulation; Non-linear story progression; Inventory management and upgrading of weapons and items.","Players are free to explore the open world at their own pace, discovering secrets and hidden areas; Complex combat encounters with enemies that require strategy and timing; Dynamic storytelling through NPC interactions and world events; Frequent item-based progression unlocking new abilities.","Iconic fantasy landscapes with lush forests, mountains, dungeons, and villages; Immersive orchestral soundtrack enhancing the adventurous mood; Epic, heroic themes with vibrant, colorful visuals.","The franchise is renowned for its influence on open-world design; Features iconic characters and items like Link, Zelda, and the Master Sword; Introduced many players to open-ended exploration and puzzle mechanics.",PEGI 12,"Players assume the role of Link as he journeys through the kingdom of Hyrule to rescue Princess Zelda and defeat Ganon. The game features a mix of real-time combat, exploration, puzzle-solving, and story progression.","Combines open-world exploration with strategic combat, puzzle-solving, and narrative depth.",Nintendo,Nintendo
Assassin's Creed,Action-Adventure,Stealth; Open-world,"Parkour-based movement across urban environments; Stealth mechanics for covert assassinations; Real-time, counter-based combat; Open-world exploration of historically accurate cities; Use of various weapons, from swords to hidden blades.","Offers players freedom to approach missions using either stealth or combat; Social stealth by blending into crowds or utilizing the environment to evade detection; Dynamic day-night cycle affecting mission execution; Multiplayer modes with unique, competitive stealth gameplay.","Richly detailed historical settings, from Jerusalem to Renaissance Italy; Cinematic cutscenes and narrative presentation; Immersive sound design blending historical ambiance with action-packed sequences.",Uses the Animus to tie historical events to a modern narrative; Offers historically accurate depictions of architecture and culture; Features a complex narrative that weaves together multiple time periods.,PEGI 18,"Players follow Desmond Miles, who uses the Animus to relive the memories of his assassin ancestors, exploring historically significant cities and participating in stealth missions to uncover ancient secrets.","Blends open-world exploration with parkour movement and stealth-based assassinations, all set within meticulously recreated historical environments.",Ubisoft,Ubisoft
